id,name,point_of_contact,account_id,asset_id,package_id,sensor_id,contact_type,meta,created,updated,deleted,mmsi,heading,course_over_ground,rate_of_turn,speed_over_ground,vessel_id,tonnage,vessel_status
0508f2f8-a6b8-4864-8ea3-af85327b1c4b,477319300,0101000020E610000029C3CBE6847552C040B980AAE40A4440,cfb6fd66-a222-4abf-b8e6-763d0e609632,7ba7e838-411e-4797-b0b9-32b4cc0e2768,4e22ee26-379c-4577-b142-c05dc5a2068a,cce9d554-1775-42f3-b697-5f5eb6946df2,AIS,"{""Mmsi"": ""477319300"", ""Raim"": ""RAIM not in use (default)"", ""Spare"": 0, ""Latitude"": 40.085103333333336, ""SenderId"": ""gss-desktop:1907"", ""Longitude"": -73.83623666666666, ""MessageType"": 1, ""RadioStatus"": ""33744"", ""RepeatCount"": 0, ""TimeUnixSec"": 1690213886.092048, ""TrueHeading"": 180, ""CountPublish"": 83, ""AisRateOfTurn"": 0, ""RateOfTurnDeg"": 0, ""SpeedOverGround"": 16.1, ""CourseOverGround"": 180.70000000000002, ""NavigationStatus"": ""Under way using engine"", ""PositionAccuracy"": ""High (<= 10m)"", ""ManeuverIndicator"": ""Not available (default)"", ""AisMsgUtcTimestamp"": 15}",2023-07-24 15:51:26.000092+00,,,,180,180.70000000000002,0,16.1,d700526b-091f-5e89-b409-d52da325fd0c,0,""
0674a555-e103-44bd-8790-42418dff9908,477319300,0101000020E6100000C4E3B525857552C030A68623350A4440,cfb6fd66-a222-4abf-b8e6-763d0e609632,7ba7e838-411e-4797-b0b9-32b4cc0e2768,4e22ee26-379c-4577-b142-c05dc5a2068a,cce9d554-1775-42f3-b697-5f5eb6946df2,AIS,"{""Mmsi"": ""477319300"", ""Raim"": ""RAIM not in use (default)"", ""Spare"": 0, ""Latitude"": 40.079746666666665, ""SenderId"": ""gss-desktop:1907"", ""Longitude"": -73.83625166666667, ""MessageType"": 1, ""RadioStatus"": ""2241"", ""RepeatCount"": 0, ""TimeUnixSec"": 1690213957.550168, ""TrueHeading"": 180, ""CountPublish"": 93, ""AisRateOfTurn"": 0, ""RateOfTurnDeg"": 0, ""SpeedOverGround"": 16, ""CourseOverGround"": 180.10000000000002, ""NavigationStatus"": ""Under way using engine"", ""PositionAccuracy"": ""High (<= 10m)"", ""ManeuverIndicator"": ""Not available (default)"", ""AisMsgUtcTimestamp"": 26}",2023-07-24 15:52:37.00055+00,,,,180,180.10000000000002,0,16,d700526b-091f-5e89-b409-d52da325fd0c,0,""
092e5774-f1f1-48aa-a41b-79c16523cbf9,477319300,0101000020E6100000252BAC41857552C02310AFEB170A4440,cfb6fd66-a222-4abf-b8e6-763d0e609632,7ba7e838-411e-4797-b0b9-32b4cc0e2768,4e22ee26-379c-4577-b142-c05dc5a2068a,cce9d554-1775-42f3-b697-5f5eb6946df2,AIS,"{""Mmsi"": ""477319300"", ""Raim"": ""RAIM not in use (default)"", ""Spare"": 0, ""Latitude"": 40.078855, ""SenderId"": ""gss-desktop:1907"", ""Longitude"": -73.83625833333333, ""MessageType"": 3, ""RadioStatus"": ""80813"", ""RepeatCount"": 0, ""TimeUnixSec"": 1690213969.7577488, ""TrueHeading"": 180, ""CountPublish"": 95, ""AisRateOfTurn"": 0, ""RateOfTurnDeg"": 0, ""SpeedOverGround"": 16, ""CourseOverGround"": 180.3, ""NavigationStatus"": ""Under way using engine"", ""PositionAccuracy"": ""High (<= 10m)"", ""ManeuverIndicator"": ""Not available (default)"", ""AisMsgUtcTimestamp"": 38}",2023-07-24 15:52:49.000757+00,,,,180,180.3,0,16,d700526b-091f-5e89-b409-d52da325fd0c,0,""
c98c29e7-872f-43e6-af58-ce426829db42,477319300,0101000020E61000007407B133857552C00DB3BD03290A4440,cfb6fd66-a222-4abf-b8e6-763d0e609632,7ba7e838-411e-4797-b0b9-32b4cc0e2768,4e22ee26-379c-4577-b142-c05dc5a2068a,cce9d554-1775-42f3-b697-5f5eb6946df2,AIS,"{""Mmsi"": ""477319300"", ""Raim"": ""RAIM not in use (default)"", ""Spare"": 0, ""Latitude"": 40.07937666666667, ""SenderId"": ""gss-desktop:1907"", ""Longitude"": -73.836255, ""MessageType"": 1, ""RadioStatus"": ""82063"", ""RepeatCount"": 0, ""TimeUnixSec"": 1690213963.494191, ""TrueHeading"": 180, ""CountPublish"": 94, ""AisRateOfTurn"": 0, ""RateOfTurnDeg"": 0, ""SpeedOverGround"": 16, ""CourseOverGround"": 180.3, ""NavigationStatus"": ""Under way using engine"", ""PositionAccuracy"": ""High (<= 10m)"", ""ManeuverIndicator"": ""Not available (default)"", ""AisMsgUtcTimestamp"": 31}",2023-07-24 15:52:43.000494+00,,,,180,180.3,0,16,d700526b-091f-5e89-b409-d52da325fd0c,0,""
a806d231-f842-43b9-afec-5e300c67e119,477319300,0101000020E6100000AEE0A456857552C0F5D6C056090A4440,cfb6fd66-a222-4abf-b8e6-763d0e609632,7ba7e838-411e-4797-b0b9-32b4cc0e2768,4e22ee26-379c-4577-b142-c05dc5a2068a,cce9d554-1775-42f3-b697-5f5eb6946df2,AIS,"{""Mmsi"": ""477319300"", ""Raim"": ""RAIM not in use (default)"", ""Spare"": 0, ""Latitude"": 40.07841, ""SenderId"": ""gss-desktop:1907"", ""Longitude"": -73.83626333333333, ""MessageType"": 1, ""RadioStatus"": ""82060"", ""RepeatCount"": 0, ""TimeUnixSec"": 1690213976.1975389, ""TrueHeading"": 180, ""CountPublish"": 96, ""AisRateOfTurn"": 0, ""RateOfTurnDeg"": 0, ""SpeedOverGround"": 16, ""CourseOverGround"": 180.60000000000002, ""NavigationStatus"": ""Under way using engine"", ""PositionAccuracy"": ""High (<= 10m)"", ""ManeuverIndicator"": ""Not available (default)"", ""AisMsgUtcTimestamp"": 45}",2023-07-24 15:52:56.000197+00,,,,180,180.60000000000002,0,16,d700526b-091f-5e89-b409-d52da325fd0c,0,""
99ea39f9-18dc-4057-b1c4-7875371ff877,477319300,0101000020E6100000D64EA74F857552C0C79DD2C1FA094440,cfb6fd66-a222-4abf-b8e6-763d0e609632,7ba7e838-411e-4797-b0b9-32b4cc0e2768,4e22ee26-379c-4577-b142-c05dc5a2068a,cce9d554-1775-42f3-b697-5f5eb6946df2,AIS,"{""Mmsi"": ""477319300"", ""Raim"": ""RAIM not in use (default)"", ""Spare"": 0, ""Latitude"": 40.077965, ""SenderId"": ""gss-desktop:1907"", ""Longitude"": -73.83626166666667, ""MessageType"": 1, ""RadioStatus"": ""65625"", ""RepeatCount"": 0, ""TimeUnixSec"": 1690213982.429313, ""TrueHeading"": 180, ""CountPublish"": 97, ""AisRateOfTurn"": 0, ""RateOfTurnDeg"": 0, ""SpeedOverGround"": 16, ""CourseOverGround"": 180.10000000000002, ""NavigationStatus"": ""Under way using engine"", ""PositionAccuracy"": ""High (<= 10m)"", ""ManeuverIndicator"": ""Not available (default)"", ""AisMsgUtcTimestamp"": 51}",2023-07-24 15:53:02.000429+00,,,,180,180.10000000000002,0,16,d700526b-091f-5e89-b409-d52da325fd0c,0,""
47578f77-35db-4a40-b26b-755ab9dde271,477319300,0101000020E6100000CE952EEA807552C07AC7293A920D4440,cfb6fd66-a222-4abf-b8e6-763d0e609632,7ba7e838-411e-4797-b0b9-32b4cc0e2768,4e22ee26-379c-4577-b142-c05dc5a2068a,cce9d554-1775-42f3-b697-5f5eb6946df2,AIS,"{""Mmsi"": ""477319300"", ""Raim"": ""RAIM not in use (default)"", ""Spare"": 0, ""Latitude"": 40.106025, ""SenderId"": ""gss-desktop:1907"", ""Longitude"": -73.83599333333333, ""MessageType"": 3, ""RadioStatus"": ""84589"", ""RepeatCount"": 0, ""TimeUnixSec"": 1690213603.47754, ""TrueHeading"": 180, ""CountPublish"": 50, ""AisRateOfTurn"": 0, ""RateOfTurnDeg"": 0, ""SpeedOverGround"": 16, ""CourseOverGround"": 180.3, ""NavigationStatus"": ""Under way using engine"", ""PositionAccuracy"": ""High (<= 10m)"", ""ManeuverIndicator"": ""Not available (default)"", ""AisMsgUtcTimestamp"": 32}",2023-07-24 15:46:43.000477+00,,,,180,180.3,0,16,d700526b-091f-5e89-b409-d52da325fd0c,0,""
2fa4936f-0be9-4fe5-8b97-7f083e6ed719,477319300,0101000020E61000000F289B72857552C0B0C1D514DB094440,cfb6fd66-a222-4abf-b8e6-763d0e609632,7ba7e838-411e-4797-b0b9-32b4cc0e2768,4e22ee26-379c-4577-b142-c05dc5a2068a,cce9d554-1775-42f3-b697-5f5eb6946df2,AIS,"{""Mmsi"": ""477319300"", ""Raim"": ""RAIM not in use (default)"", ""Spare"": 0, ""Latitude"": 40.076998333333336, ""SenderId"": ""gss-desktop:1907"", ""Longitude"": -73.83627, ""MessageType"": 1, ""RadioStatus"": ""33295"", ""RepeatCount"": 0, ""TimeUnixSec"": 1690213994.1089208, ""TrueHeading"": 180, ""CountPublish"": 98, ""AisRateOfTurn"": 0, ""RateOfTurnDeg"": 0, ""SpeedOverGround"": 16, ""CourseOverGround"": 180.10000000000002, ""NavigationStatus"": ""Under way using engine"", ""PositionAccuracy"": ""High (<= 10m)"", ""ManeuverIndicator"": ""Not available (default)"", ""AisMsgUtcTimestamp"": 3}",2023-07-24 15:53:14.000108+00,,,,180,180.10000000000002,0,16,d700526b-091f-5e89-b409-d52da325fd0c,0,""
d922fdee-ce41-4273-9f16-3ae01861b368,477319300,0101000020E61000006DE2E47E877552C0E81BBE72AA084440,cfb6fd66-a222-4abf-b8e6-763d0e609632,7ba7e838-411e-4797-b0b9-32b4cc0e2768,4e22ee26-379c-4577-b142-c05dc5a2068a,cce9d554-1775-42f3-b697-5f5eb6946df2,AIS,"{""Mmsi"": ""477319300"", ""Raim"": ""RAIM not in use (default)"", ""Spare"": 0, ""Latitude"": 40.067701666666665, ""SenderId"": ""gss-desktop:1907"", ""Longitude"": -73.836395, ""MessageType"": 1, ""RadioStatus"": ""82060"", ""RepeatCount"": 0, ""TimeUnixSec"": 1690214119.7159328, ""TrueHeading"": 180, ""CountPublish"": 108, ""AisRateOfTurn"": 0, ""RateOfTurnDeg"": 0, ""SpeedOverGround"": 16, ""CourseOverGround"": 180.60000000000002, ""NavigationStatus"": ""Under way using engine"", ""PositionAccuracy"": ""High (<= 10m)"", ""ManeuverIndicator"": ""Not available (default)"", ""AisMsgUtcTimestamp"": 8}",2023-07-24 15:55:19.000715+00,,,,180,180.60000000000002,0,16,d700526b-091f-5e89-b409-d52da325fd0c,0,""
65429abd-b991-4ec7-9777-d4c142ea71d9,477319300,0101000020E61000000B907BCD857552C025160B56AF094440,cfb6fd66-a222-4abf-b8e6-763d0e609632,7ba7e838-411e-4797-b0b9-32b4cc0e2768,4e22ee26-379c-4577-b142-c05dc5a2068a,cce9d554-1775-42f3-b697-5f5eb6946df2,AIS,"{""Mmsi"": ""477319300"", ""Raim"": ""RAIM not in use (default)"", ""Spare"": 0, ""Latitude"": 40.07566333333333, ""SenderId"": ""gss-desktop:1907"", ""Longitude"": -73.83629166666667, ""MessageType"": 1, ""RadioStatus"": ""24276"", ""RepeatCount"": 0, ""TimeUnixSec"": 1690214012.1320539, ""TrueHeading"": 180, ""CountPublish"": 99, ""AisRateOfTurn"": 0, ""RateOfTurnDeg"": 0, ""SpeedOverGround"": 16, ""CourseOverGround"": 181.10000000000002, ""NavigationStatus"": ""Under way using engine"", ""PositionAccuracy"": ""High (<= 10m)"", ""ManeuverIndicator"": ""Not available (default)"", ""AisMsgUtcTimestamp"": 21}",2023-07-24 15:53:32.000132+00,,,,180,181.10000000000002,0,16,d700526b-091f-5e89-b409-d52da325fd0c,0,""
